[setCountry, getClass, getCountry, getDeveloper, getTags, setItemCondition, setUserRecordType, setYourPrice, setNotes, setCreatedAt, getCreatedAt, getUserRecordType, getTitle, setCategory, getGame, getPriceCIB, getParameter, getBoxCondition, setPlatform, getReleaseType, getItemCondition, getCategory, setTitle, getManualCondition, getOwnership, getPriceLoose, setPublisher, getPriceNew, wait, notifyAll, getPricePaid, setTags, notify, getNotes, hashCode, setManualCondition, getGameExact, setPriceCIB, getYourPrice, setReleaseType, setOwnership, setPriceNew, getPublisher, setPriceLoose, equals, getParameters, setPricePaid, setDeveloper, toString, setBoxCondition, getPlatform]
"Microsoft Xbox","Games","Owned","007: From Russia with Love","United States of America","Official","EA Games","EA Redwood Shores","Jan 16 2022","CIB","6.7","7.69","26.33","7.69","-1.0","10","10","10","",""
"Sony PlayStation","Games","Owned","007: Tomorrow Never Dies","United States of America","Official","Electronic Arts","Black Ops Entertainment","Jan 31 2022","CIB","5.55","10.13","55.5","10.13","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","4 Wheel Thunder","United States of America","Official","Midway Games","Kalisto Entertainment","Jan 30 2022","CIB","10.05","18.5","53.01","18.5","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Ace Combat 04: Shattered Skies","United States of America","Official","Namco","Namco","Jan 18 2022","CIB","6.5","9.03","24.5","9.03","-1.0","10","10","10","",""
"Nintendo GameCube","GameAccessories","Owned","Action Replay","United States of America","Official","Datel","Missing Field","Jan 30 2022","Loose+","77.34","130.71","159","102.98","-1.0","10","?","10","",""
"Nintendo Wii","Games","Owned","Active Life: Explorer","United States of America","Official","Bandai Namco Entertainment","Bandai Namco Entertainment","Jan 17 2022","CIB","7.33","8.69","25.99","8.69","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Adrenalin Misfits","United States of America","Official","Konami","Konami","Jan 16 2022","CIB","5.49","7.5","9.4","7.5","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Aero Elite: Combat Academy","United States of America","Official","Sega","Sega AM2 R&D Division","Jan 18 2022","CIB","7.99","11.65","71.5","11.65","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Alias","United States of America","Official","Acclaim Entertainment Inc.","Acclaim","Jan 17 2022","CIB","6.15","6.35","17.5","6.35","-1.0","10","10","10","",""
"Sony PlayStation 3","Games","Owned","Aliens: Colonial Marines","United States of America","Official","Sega","Gearbox","Jan 25 2022","CIB","9.49","9.5","15.58","9.5","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Alone in the Dark: The New Nightmare","United States of America","Official","Infogrames Entertainment","Darkworks SA","Jan 30 2022","CIB","42.51","45.55","75.47","45.55","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Amazing Spider-Man 2","United States of America","Official","Activision","Beenox Studios","Jan 25 2022","CIB","56.47","60.49","150.4","60.49","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Assassin's Creed II","United States of America","Official","Ubisoft Entertainment","Ubisoft Montreal","Jan 16 2022","CIB","4.38","5.55","19.45","5.55","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Assassin's Creed: Unity [Limited Edition]","United States of America","Official","Ubisoft","Missing Field","Jan 25 2022","CIB","5.51","7.2","10.5","7.2","-1.0","10","10","10","",""
"Skylanders","ToysToLife","Owned","Astroblast - Superchargers","","Official","Activision","Toys For Bob","Feb 8 2022","New","7.49","?","9.59","9.59","-1.0","?","10","?","",""
"Sony PlayStation 2","Games","Owned","Backyard Football '08","United States of America","Official","Atari SA","Humongous Entertainment","Mar 6 2024","CIB","5.85","8.18","20.94","8.18","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Baldur's Gate: Dark Alliance","United States of America","Official","Interplay Entertainment Corp.","Black Isle Studios","Jan 17 2022","CIB","10.49","13.49","64.47","13.49","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Bangai-O","United States of America","Official","Conspiracy Entertainment Corporation","Treasure","Jan 25 2022","CIB","80.26","113.25","219.05","113.25","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Batman: Arkham Knight","United States of America","Official","WB Games","Rocksteady","Jan 25 2022","CIB","4.92","6.76","13.92","6.76","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Battleborn","United States of America","Official","2K Games","Gearbox Software","Jan 25 2022","CIB","4.79","5.44","6.38","5.44","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Battlefield: Bad Company","United States of America","Official","Electronic Arts","DiCE","Jan 16 2022","CIB","5.09","10.56","51.98","10.56","-1.0","10","10","10","",""
"Microsoft Xbox","Games","Owned","Battlestar Galactica","United States of America","Official","Vivendi Universal Games","Warthog","Jan 16 2022","CIB","8.52","12.06","25.5","12.06","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Beatles: Rock Band","United States of America","Official","MTV Games","Harmonix Music Systems","Jan 16 2022","CIB","7.19","7.53","15.49","7.53","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Trade/Sell","Beatles: Rock Band","United States of America","Official","MTV Games","Harmonix Music Systems","Nov 20 2021","CIB","7.19","7.53","15.49","7.53","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Trade/Sell","Beatles: Rock Band","United States of America","Official","MTV Games","Harmonix Music Systems","Nov 20 2021","CIB","7.19","7.53","15.49","7.53","-1.0","?","?","?","",""
"Sony PlayStation 3","Games","Owned","Bejeweled 3","United States of America","Official","PopCap Games Inc.","PopCap Games","Jan 25 2022","CIB","5.5","6.49","12.7","6.49","-1.0","10","10","10","",""
"Skylanders","ToysToLife","Owned","Big Bubble Pop Fizz","","","Missing Field","Missing Field","Feb 8 2022","New","-1.0","-1.0","-1.0","-1.0","-1.0","?","10","?","",""
"Sony PlayStation","Games","Owned","Bio FREAKS","United States of America","Official","Midway Games","Saffire Corporation","Jan 31 2022","CIB","6.58","12.88","27.53","12.88","-1.0","6","6","6","",""
"Microsoft Xbox One","Games","Owned","Bioshock: The Collection","United States of America","Official","2K","Irrational Games","Jan 25 2022","CIB","11.14","11.99","19.5","11.99","-1.0","10","10","10","",""
